year,gas,value,unit,lat,station
1992,c6f14,0.04910416666666667,ppt,-40.6833,Cape Grim
1992,c7f16,0.042436416666666664,ppt,-40.6833,Cape Grim
1993,cc4f8,0.7995283333333333,ppt,-40.6833,Cape Grim
1993,c4f10,0.09807375,ppt,-40.6833,Cape Grim
1993,c5f12,0.07631041666666667,ppt,-40.6833,Cape Grim
1993,c6f14,0.052053833333333334,ppt,-40.6833,Cape Grim
1993,c7f16,0.04519516666666667,ppt,-40.6833,Cape Grim
1994,cc4f8,0.8114883333333333,ppt,-40.6833,Cape Grim
1994,c4f10,0.10501083333333333,ppt,-40.6833,Cape Grim
1994,c5f12,0.08234241666666667,ppt,-40.6833,Cape Grim
1994,c6f14,0.05517666666666667,ppt,-40.6833,Cape Grim
1994,c7f16,0.047953583333333334,ppt,-40.6833,Cape Grim
1995,cc4f8,0.8231408333333333,ppt,-40.6833,Cape Grim
1995,c4f10,0.11199750000000001,ppt,-40.6833,Cape Grim
1995,c5f12,0.08861083333333335,ppt,-40.6833,Cape Grim
1995,c6f14,0.06109583333333333,ppt,-40.6833,Cape Grim
1995,c7f16,0.0507115,ppt,-40.6833,Cape Grim
1996,cc4f8,0.8358433333333334,ppt,-40.6833,Cape Grim
1996,c4f10,0.11901666666666666,ppt,-40.6833,Cape Grim
1996,c5f12,0.09503141666666666,ppt,-40.6833,Cape Grim
1996,c6f14,0.076875,ppt,-40.6833,Cape Grim
1996,c7f16,0.053468666666666664,ppt,-40.6833,Cape Grim
1997,cc4f8,0.8500766666666667,ppt,-40.6833,Cape Grim
1997,c4f10,0.12605666666666668,ppt,-40.6833,Cape Grim
1997,c5f12,0.101383,ppt,-40.6833,Cape Grim
1997,c6f14,0.09702941666666666,ppt,-40.6833,Cape Grim
1997,c7f16,0.056225166666666666,ppt,-40.6833,Cape Grim
1998,cc4f8,0.8659166666666667,ppt,-40.6833,Cape Grim
1998,c4f10,0.13311166666666666,ppt,-40.6833,Cape Grim
1998,c5f12,0.10724833333333333,ppt,-40.6833,Cape Grim
1998,c6f14,0.117275,ppt,-40.6833,Cape Grim
1998,c7f16,0.05898116666666667,ppt,-40.6833,Cape Grim
1999,cc4f8,0.8833699999999999,ppt,-40.6833,Cape Grim
1999,c4f10,0.14009333333333332,ppt,-40.6833,Cape Grim
1999,c5f12,0.11238833333333333,ppt,-40.6833,Cape Grim
1999,c6f14,0.13385,ppt,-40.6833,Cape Grim
1999,c7f16,0.06173633333333334,ppt,-40.6833,Cape Grim
2000,cc4f8,0.90244,ppt,-40.6833,Cape Grim
2000,c4f10,0.14680333333333334,ppt,-40.6833,Cape Grim
2000,c5f12,0.11695833333333333,ppt,-40.6833,Cape Grim
2000,c6f14,0.1461425,ppt,-40.6833,Cape Grim
2000,c7f16,0.064491,ppt,-40.6833,Cape Grim
2001,cc4f8,0.9231250000000001,ppt,-40.6833,Cape Grim
2001,c4f10,0.1528225,ppt,-40.6833,Cape Grim
2001,c5f12,0.121045,ppt,-40.6833,Cape Grim
2001,c6f14,0.15515916666666665,ppt,-40.6833,Cape Grim
2001,c7f16,0.067245,ppt,-40.6833,Cape Grim
2002,cc4f8,0.9454224999999999,ppt,-40.6833,Cape Grim
2002,c4f10,0.15793916666666666,ppt,-40.6833,Cape Grim
2002,c5f12,0.12464666666666667,ppt,-40.6833,Cape Grim
2002,c6f14,0.16240166666666667,ppt,-40.6833,Cape Grim
2002,c7f16,0.06999833333333333,ppt,-40.6833,Cape Grim
2003,cc4f8,0.9693691666666666,ppt,-40.6833,Cape Grim
2003,c4f10,0.1622525,ppt,-40.6833,Cape Grim
2003,c5f12,0.127755,ppt,-40.6833,Cape Grim
2003,c6f14,0.16877,ppt,-40.6833,Cape Grim
2003,c7f16,0.07275116666666666,ppt,-40.6833,Cape Grim
2004,cc4f8,0.9951108333333333,ppt,-40.6833,Cape Grim
2004,c4f10,0.16584166666666667,ppt,-40.6833,Cape Grim
2004,c5f12,0.13029749999999998,ppt,-40.6833,Cape Grim
2004,c6f14,0.17459916666666667,ppt,-40.6833,Cape Grim
2004,c7f16,0.07550333333333333,ppt,-40.6833,Cape Grim
2005,cc4f8,1.0225416666666667,ppt,-40.6833,Cape Grim
2005,c4f10,0.168875,ppt,-40.6833,Cape Grim
2005,c5f12,0.13233333333333333,ppt,-40.6833,Cape Grim
2005,c6f14,0.18004666666666666,ppt,-40.6833,Cape Grim
2005,c7f16,0.07825466666666667,ppt,-40.6833,Cape Grim
2006,cc4f8,1.0515666666666668,ppt,-40.6833,Cape Grim
2006,c4f10,0.17160916666666667,ppt,-40.6833,Cape Grim
2006,c5f12,0.13402833333333333,ppt,-40.6833,Cape Grim
2006,c6f14,0.18514583333333334,ppt,-40.6833,Cape Grim
2006,c7f16,0.08100541666666666,ppt,-40.6833,Cape Grim
2007,cc4f8,1.082225,ppt,-40.6833,Cape Grim
2007,c4f10,0.17415833333333333,ppt,-40.6833,Cape Grim
2007,c5f12,0.13555999999999999,ppt,-40.6833,Cape Grim
2007,c6f14,0.18983333333333333,ppt,-40.6833,Cape Grim
2007,c7f16,0.08375566666666667,ppt,-40.6833,Cape Grim
2008,cc4f8,1.1145083333333334,ppt,-40.6833,Cape Grim
2008,c4f10,0.17657083333333334,ppt,-40.6833,Cape Grim
2008,c5f12,0.13697583333333332,ppt,-40.6833,Cape Grim
2008,c6f14,0.19409166666666666,ppt,-40.6833,Cape Grim
2008,c7f16,0.08650508333333333,ppt,-40.6833,Cape Grim
2009,cc4f8,1.148375,ppt,-40.6833,Cape Grim
2009,c4f10,0.17889999999999998,ppt,-40.6833,Cape Grim
2009,c5f12,0.1382925,ppt,-40.6833,Cape Grim
2009,c6f14,0.197935,ppt,-40.6833,Cape Grim
2009,c7f16,0.089254,ppt,-40.6833,Cape Grim
2010,cc4f8,1.1838583333333335,ppt,-40.6833,Cape Grim
2010,c4f10,0.181175,ppt,-40.6833,Cape Grim
2010,c5f12,0.139515,ppt,-40.6833,Cape Grim
2010,c6f14,0.20141583333333335,ppt,-40.6833,Cape Grim
2010,c7f16,0.09200233333333334,ppt,-40.6833,Cape Grim
2011,cc4f8,1.220975,ppt,-40.6833,Cape Grim
2011,c4f10,0.18341583333333333,ppt,-40.6833,Cape Grim
2011,c5f12,0.14068083333333334,ppt,-40.6833,Cape Grim
2011,c6f14,0.20455833333333331,ppt,-40.6833,Cape Grim
2011,c7f16,0.09475008333333333,ppt,-40.6833,Cape Grim
2012,cc4f8,1.2596749999999999,ppt,-40.6833,Cape Grim
2012,c4f10,0.18564916666666667,ppt,-40.6833,Cape Grim
2012,c5f12,0.14181833333333335,ppt,-40.6833,Cape Grim
2012,c6f14,0.20738083333333335,ppt,-40.6833,Cape Grim
2012,c7f16,0.09749691666666667,ppt,-40.6833,Cape Grim
2013,cc4f8,1.3000916666666666,ppt,-40.6833,Cape Grim
2013,c4f10,0.18788249999999998,ppt,-40.6833,Cape Grim
2013,c5f12,0.14295333333333335,ppt,-40.6833,Cape Grim
2013,c6f14,0.20998416666666667,ppt,-40.6833,Cape Grim
2013,c7f16,0.10024300000000001,ppt,-40.6833,Cape Grim
2014,cc4f8,1.3427333333333333,ppt,-40.6833,Cape Grim
2014,c4f10,0.19011416666666667,ppt,-40.6833,Cape Grim
2014,c5f12,0.14408666666666667,ppt,-40.6833,Cape Grim
2014,c6f14,0.21243583333333335,ppt,-40.6833,Cape Grim
2014,c7f16,0.10298916666666667,ppt,-40.6833,Cape Grim
2015,cc4f8,1.3880916666666667,ppt,-40.6833,Cape Grim
2015,c4f10,0.19234583333333333,ppt,-40.6833,Cape Grim
